,ticker_symbol,day_date,close_value
421,AAPL,2018-09-25,222.19
422,AAPL,2018-09-24,220.79
423,AAPL,2018-09-21,217.66
424,AAPL,2018-09-20,220.03
425,AAPL,2018-09-19,218.37
426,AAPL,2018-09-18,218.24
427,AAPL,2018-09-17,217.88
428,AAPL,2018-09-14,223.84
429,AAPL,2018-09-13,226.41
430,AAPL,2018-09-12,221.07
431,AAPL,2018-09-11,223.85
432,AAPL,2018-09-10,218.33
433,AAPL,2018-09-07,221.3
434,AAPL,2018-09-06,223.1
435,AAPL,2018-09-05,226.87
436,AAPL,2018-09-04,228.36
437,AAPL,2018-08-31,227.63
438,AAPL,2018-08-30,225.03
439,AAPL,2018-08-29,222.98
440,AAPL,2018-08-28,219.7
441,AAPL,2018-08-27,217.94
442,AAPL,2018-08-24,216.16
443,AAPL,2018-08-23,215.49
444,AAPL,2018-08-22,215.05
445,AAPL,2018-08-21,215.04
446,AAPL,2018-08-20,215.46
447,AAPL,2018-08-17,217.58
448,AAPL,2018-08-16,213.32
449,AAPL,2018-08-15,210.24
450,AAPL,2018-08-14,209.75
451,AAPL,2018-08-13,208.87
452,AAPL,2018-08-10,207.53
453,AAPL,2018-08-09,208.88
454,AAPL,2018-08-08,207.25
455,AAPL,2018-08-07,207.11
456,AAPL,2018-08-06,209.07
457,AAPL,2018-08-03,207.99
458,AAPL,2018-08-02,207.39
459,AAPL,2018-08-01,201.5
460,AAPL,2018-07-31,190.29
461,AAPL,2018-07-30,189.91
462,AAPL,2018-07-27,190.98
463,AAPL,2018-07-26,194.21
464,AAPL,2018-07-25,194.82
465,AAPL,2018-07-24,193.0
466,AAPL,2018-07-23,191.61
467,AAPL,2018-07-20,191.44
468,AAPL,2018-07-19,191.88
469,AAPL,2018-07-18,190.4
470,AAPL,2018-07-17,191.45
471,AAPL,2018-07-16,190.91
472,AAPL,2018-07-13,191.33
473,AAPL,2018-07-12,191.03
474,AAPL,2018-07-11,187.88
475,AAPL,2018-07-10,190.35
476,AAPL,2018-07-09,190.58
477,AAPL,2018-07-06,187.97
478,AAPL,2018-07-05,185.4
479,AAPL,2018-07-03,183.92
480,AAPL,2018-07-02,187.18
481,AAPL,2018-06-29,185.11
482,AAPL,2018-06-28,185.5
483,AAPL,2018-06-27,184.16
484,AAPL,2018-06-26,184.43
485,AAPL,2018-06-25,182.17
486,AAPL,2018-06-22,184.92
487,AAPL,2018-06-21,185.46
488,AAPL,2018-06-20,186.5
489,AAPL,2018-06-19,185.69
490,AAPL,2018-06-18,188.74
491,AAPL,2018-06-15,188.84
492,AAPL,2018-06-14,190.8
493,AAPL,2018-06-13,190.7
494,AAPL,2018-06-12,192.28
495,AAPL,2018-06-11,191.23
496,AAPL,2018-06-08,191.7
497,AAPL,2018-06-07,193.46
498,AAPL,2018-06-06,193.98
499,AAPL,2018-06-05,193.31
500,AAPL,2018-06-04,191.83
501,AAPL,2018-06-01,190.24
502,AAPL,2018-05-31,186.87
503,AAPL,2018-05-30,187.5
504,AAPL,2018-05-29,187.9
505,AAPL,2018-05-25,188.58
506,AAPL,2018-05-24,188.15
507,AAPL,2018-05-23,188.36
508,AAPL,2018-05-22,187.16
509,AAPL,2018-05-21,187.63
510,AAPL,2018-05-18,186.31
511,AAPL,2018-05-17,186.99
512,AAPL,2018-05-16,188.18
513,AAPL,2018-05-15,186.44
514,AAPL,2018-05-14,188.15
515,AAPL,2018-05-11,188.59
516,AAPL,2018-05-10,190.04
517,AAPL,2018-05-09,187.36
518,AAPL,2018-05-08,186.05
519,AAPL,2018-05-07,185.16
520,AAPL,2018-05-04,183.83
521,AAPL,2018-05-03,176.89
522,AAPL,2018-05-02,176.57
523,AAPL,2018-05-01,169.1
524,AAPL,2018-04-30,165.26
525,AAPL,2018-04-27,162.32
526,AAPL,2018-04-26,164.22
527,AAPL,2018-04-25,163.65
528,AAPL,2018-04-24,162.94
529,AAPL,2018-04-23,165.24
530,AAPL,2018-04-20,165.72
531,AAPL,2018-04-19,172.8
532,AAPL,2018-04-18,177.84
533,AAPL,2018-04-17,178.24
534,AAPL,2018-04-16,175.82
535,AAPL,2018-04-13,174.73
536,AAPL,2018-04-12,174.14
537,AAPL,2018-04-11,172.44
538,AAPL,2018-04-10,173.25
539,AAPL,2018-04-09,170.05
540,AAPL,2018-04-06,168.38
541,AAPL,2018-04-05,172.8
542,AAPL,2018-04-04,171.61
543,AAPL,2018-04-03,168.39
544,AAPL,2018-04-02,166.68
545,AAPL,2018-03-29,167.78
546,AAPL,2018-03-28,166.48
547,AAPL,2018-03-27,168.34
548,AAPL,2018-03-26,172.77
549,AAPL,2018-03-23,164.94
550,AAPL,2018-03-22,168.85
551,AAPL,2018-03-21,171.27
552,AAPL,2018-03-20,175.24
553,AAPL,2018-03-19,175.3
554,AAPL,2018-03-16,178.02
555,AAPL,2018-03-15,178.65
556,AAPL,2018-03-14,178.44
557,AAPL,2018-03-13,179.97
558,AAPL,2018-03-12,181.72
559,AAPL,2018-03-09,179.98
560,AAPL,2018-03-08,176.94
561,AAPL,2018-03-07,175.03
562,AAPL,2018-03-06,176.67
563,AAPL,2018-03-05,176.82
564,AAPL,2018-03-02,176.21
565,AAPL,2018-03-01,175.0
566,AAPL,2018-02-28,178.12
567,AAPL,2018-02-27,178.39
568,AAPL,2018-02-26,178.97
569,AAPL,2018-02-23,175.5
570,AAPL,2018-02-22,172.5
571,AAPL,2018-02-21,171.07
572,AAPL,2018-02-20,171.85
573,AAPL,2018-02-16,172.43
574,AAPL,2018-02-15,172.99
575,AAPL,2018-02-14,167.37
576,AAPL,2018-02-13,164.34
577,AAPL,2018-02-12,162.71
578,AAPL,2018-02-09,156.41
579,AAPL,2018-02-08,155.15
580,AAPL,2018-02-07,159.54
581,AAPL,2018-02-06,163.03
582,AAPL,2018-02-05,156.49
583,AAPL,2018-02-02,160.5
584,AAPL,2018-02-01,167.78
585,AAPL,2018-01-31,167.43
586,AAPL,2018-01-30,166.97
587,AAPL,2018-01-29,167.96
588,AAPL,2018-01-26,171.51
589,AAPL,2018-01-25,171.11
590,AAPL,2018-01-24,174.22
591,AAPL,2018-01-23,177.04
592,AAPL,2018-01-22,177.0
593,AAPL,2018-01-19,178.46
594,AAPL,2018-01-18,179.26
595,AAPL,2018-01-17,179.1
596,AAPL,2018-01-16,176.19
597,AAPL,2018-01-12,177.09
598,AAPL,2018-01-11,175.28
599,AAPL,2018-01-10,174.29
600,AAPL,2018-01-09,174.33
601,AAPL,2018-01-08,174.35
602,AAPL,2018-01-05,175.0
603,AAPL,2018-01-04,173.03
604,AAPL,2018-01-03,172.23
605,AAPL,2018-01-02,172.26
606,AAPL,2017-12-29,169.23
607,AAPL,2017-12-28,171.08
608,AAPL,2017-12-27,170.6
609,AAPL,2017-12-26,170.57
610,AAPL,2017-12-22,175.01
611,AAPL,2017-12-21,175.01
612,AAPL,2017-12-20,174.35
613,AAPL,2017-12-19,174.54
614,AAPL,2017-12-18,176.42
615,AAPL,2017-12-15,173.97
616,AAPL,2017-12-14,172.22
617,AAPL,2017-12-13,172.27
618,AAPL,2017-12-12,171.7
619,AAPL,2017-12-11,172.67
620,AAPL,2017-12-08,169.37
621,AAPL,2017-12-07,169.32
622,AAPL,2017-12-06,169.01
623,AAPL,2017-12-05,169.64
624,AAPL,2017-12-04,169.8
625,AAPL,2017-12-01,171.05
626,AAPL,2017-11-30,171.85
627,AAPL,2017-11-29,169.48
628,AAPL,2017-11-28,173.07
629,AAPL,2017-11-27,174.09
630,AAPL,2017-11-24,174.97
631,AAPL,2017-11-22,174.96
632,AAPL,2017-11-21,173.14
633,AAPL,2017-11-20,169.98
634,AAPL,2017-11-17,170.15
635,AAPL,2017-11-16,171.1
636,AAPL,2017-11-15,169.08
637,AAPL,2017-11-14,171.34
638,AAPL,2017-11-13,173.97
639,AAPL,2017-11-10,174.67
640,AAPL,2017-11-09,175.88
